Method,n,build-time-ms,phys_reads,phys_writes,logical_reads,logical_writes,page_hits,page_misses
unsorted,2000,1,1,29,3962,2142,3961,1
sorted,2000,1,1,29,3962,2142,3961,1
random,2000,3,251,263,3946,2094,3695,251
unsorted,5000,4,1,102,10035,5361,10034,1
sorted,5000,4,1,102,10035,5361,10034,1
random,5000,28,2167,2230,9997,5247,7830,2167
unsorted,10000,8,10,235,24907,10731,24897,10
sorted,10000,5,1,227,24908,10734,24907,1
random,10000,41,6431,6584,22765,10515,16334,6431
